paper_id,TAM,UTAUT,STS,TOE,RBV,Dynamic_Capabilities,IDT,Stakeholder_Theory,Just_Digital,dominant_dt_theory,SDG6_Water,SDG7_Energy,dominant_sdg,sdg_margin,method,outcome,outcomes_all
SDG7-214,0.15113892,0.19199201,0.29829347,0.17632963,0.16775356,0.24708661,0.05713404,0.056900766,0.10405411,STS,0.22749966,0.36700803,SDG7_Energy,-0.13950837,sem,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-213,0.15073891,0.23506954,0.25122762,0.22168407,0.22503448,0.13707098,0.19767,0.1314222,0.0712929,STS,0.08240573,0.0060185194,SDG6_Water,0.07638721,sem,access,access|efficiency|sustainability|resilience|quality
SDG7-01,0.266456,0.19300953,0.2812111,0.39444062,0.23481241,0.29081297,0.385859,0.113863975,0.02938553,TOE,0.17222051,0.42503983,SDG7_Energy,-0.2528193,unknown,access,access|efficiency|sustainability|productivity|quality
SDG7-171,0.12878868,0.1513787,0.12557149,0.15954742,0.13942796,0.17563671,0.10457027,0.11030689,-0.049241263,Dynamic_Capabilities,0.07693919,0.4048016,SDG7_Energy,-0.3278624,review,access,access|efficiency|sustainability|resilience|productivity|quality
SDG7-66,0.19351761,0.20105404,0.166542,0.25185087,0.23043342,0.25568593,0.21421412,0.1686703,-0.038671236,Dynamic_Capabilities,0.19574298,0.45288956,SDG7_Energy,-0.2571466,regression,access,access|efficiency|governance|sustainability|resilience|productivity|quality
SDG7-167,0.30389196,0.36994827,0.19752714,0.26326826,0.3896166,0.2509592,0.35115597,0.10541332,0.16075286,RBV,0.08281113,0.09012005,SDG7_Energy,-0.0073089153,sem,access,access|efficiency|governance|sustainability|resilience|equity
SDG7-185,0.2610661,0.29484338,0.29515398,0.3191353,0.29112545,0.16107295,0.23672275,0.26134762,0.21632472,TOE,0.11985036,0.2003777,SDG7_Energy,-0.08052734,qualitative,access,access|efficiency|sustainability|resilience|quality
SDG7-130,-0.014090401,0.05283274,0.11140449,-0.06359233,0.096193135,0.2403065,-0.08021556,0.040374614,-0.094466574,Dynamic_Capabilities,0.15218413,0.4482413,SDG7_Energy,-0.29605716,unknown,access,access|efficiency|sustainability
SDG7-135,0.22167948,0.16029912,0.118630424,0.18730286,0.19762294,0.29285976,0.1561139,0.06266919,0.1926514,Dynamic_Capabilities,0.18456584,0.28215647,SDG7_Energy,-0.097590625,unknown,access,access|efficiency|governance|sustainability|productivity
SDG7-221,0.11735029,0.2071287,0.1542209,0.12045143,0.06007865,0.31023782,0.062163904,0.19412482,0.09389198,Dynamic_Capabilities,0.21499522,0.29654238,SDG7_Energy,-0.081547156,unknown,access,access|efficiency|resilience|quality
